Datetime,Open,High,Low,Close,Adj Close,Volume
2022-01-28 09:30:00-05:00,295.6203918457031,297.2099914550781,295.3999938964844,296.54998779296875,296.54998779296875,667360
2022-01-28 09:32:00-05:00,296.5201110839844,296.6482849121094,295.1499938964844,295.7200012207031,295.7200012207031,127273
2022-01-28 09:34:00-05:00,296.0,296.1700134277344,294.7950134277344,294.95001220703125,294.95001220703125,162022
2022-01-28 09:36:00-05:00,294.0710144042969,294.30999755859375,293.760009765625,294.1545104980469,294.1545104980469,211587
2022-01-28 09:38:00-05:00,294.75,295.25,294.43499755859375,294.8399963378906,294.8399963378906,131308
2022-01-28 09:40:00-05:00,295.0,295.5899963378906,294.32501220703125,295.2200012207031,295.2200012207031,148676
2022-01-28 09:42:00-05:00,295.0,295.0299987792969,294.0400085449219,294.19000244140625,294.19000244140625,126478
2022-01-28 09:44:00-05:00,294.2200012207031,294.69500732421875,294.0,294.0,294.0,113542
2022-01-28 09:46:00-05:00,293.92999267578125,294.3999938964844,293.3800048828125,293.9457092285156,293.9457092285156,388307
2022-01-28 09:48:00-05:00,294.5,295.0965881347656,293.8900146484375,293.8900146484375,293.8900146484375,118275
2022-01-28 09:50:00-05:00,294.0,294.8900146484375,293.418701171875,294.45001220703125,294.45001220703125,97910
2022-01-28 09:52:00-05:00,294.625,295.2699890136719,294.6000061035156,294.9999084472656,294.9999084472656,103461
2022-01-28 09:54:00-05:00,294.5,295.0799865722656,294.2300109863281,294.57000732421875,294.57000732421875,118859
2022-01-28 09:56:00-05:00,294.5950012207031,295.3450012207031,294.19000244140625,295.0899963378906,295.0899963378906,116283
2022-01-28 09:58:00-05:00,294.8299865722656,295.20001220703125,294.5299987792969,294.8276062011719,294.8276062011719,67995
2022-01-28 10:00:00-05:00,294.95001220703125,295.3399963378906,293.9800109863281,294.1575012207031,294.1575012207031,148569
2022-01-28 10:02:00-05:00,294.14801025390625,294.7200012207031,293.8999938964844,294.5400085449219,294.5400085449219,109574
2022-01-28 10:04:00-05:00,294.82000732421875,294.9700012207031,294.05999755859375,294.6000061035156,294.6000061035156,64308
2022-01-28 10:06:00-05:00,294.54998779296875,294.70001220703125,294.04998779296875,294.3800048828125,294.3800048828125,70915
2022-01-28 10:08:00-05:00,294.3299865722656,294.8800048828125,293.8999938964844,294.3599853515625,294.3599853515625,67809
2022-01-28 10:10:00-05:00,294.4150085449219,295.29998779296875,294.4150085449219,295.20001220703125,295.20001220703125,98636
2022-01-28 10:12:00-05:00,295.1000061035156,295.5791015625,294.20001220703125,294.4100036621094,294.4100036621094,101342
2022-01-28 10:14:00-05:00,294.3999938964844,294.8500061035156,294.0199890136719,294.5993957519531,294.5993957519531,65277
2022-01-28 10:16:00-05:00,294.5799865722656,295.1708984375,294.3500061035156,294.93450927734375,294.93450927734375,65336
2022-01-28 10:18:00-05:00,294.8500061035156,295.8999938964844,294.69500732421875,295.8399963378906,295.8399963378906,118319
2022-01-28 10:20:00-05:00,295.8479919433594,296.0845031738281,295.2699890136719,295.7550048828125,295.7550048828125,145184
2022-01-28 10:22:00-05:00,295.70001220703125,295.80999755859375,294.25,294.6400146484375,294.6400146484375,91968
2022-01-28 10:24:00-05:00,294.60198974609375,295.5,294.5799865722656,295.3699951171875,295.3699951171875,78723
2022-01-28 10:26:00-05:00,295.4652099609375,295.7349853515625,294.19500732421875,294.2900085449219,294.2900085449219,86171
2022-01-28 10:28:00-05:00,294.3450012207031,294.49200439453125,293.67999267578125,294.49200439453125,294.49200439453125,92826
2022-01-28 10:30:00-05:00,294.54998779296875,294.6400146484375,294.010009765625,294.239990234375,294.239990234375,87793
2022-01-28 10:32:00-05:00,294.1499938964844,294.17498779296875,293.1000061035156,293.25,293.25,88299
2022-01-28 10:34:00-05:00,293.2699890136719,293.6000061035156,293.0400085449219,293.2799987792969,293.2799987792969,81090
